ticker,in_orats,in_polygon,source
NULV,0,1,polygon
NUMG,0,1,polygon
NUMV,0,1,polygon
NURE,0,1,polygon
NURO,1,1,both
NUS,1,1,both
NUSA,0,1,polygon
NUSC,1,1,both
NUSI,1,1,both
NUTR,1,0,orats
NUTX,0,1,polygon
NUV,0,1,polygon
NUVA,1,0,orats
NUVB,1,1,both
NUVB.WS,0,1,polygon
NUVL,1,1,both
NUVO,1,0,orats
NUW,0,1,polygon
NUWE,0,1,polygon
NUZE,1,1,both
NVA,1,0,orats
NVACR,0,1,polygon
NVACW,0,1,polygon
NVAX,1,1,both
NVBT,0,1,polygon
NVBW,0,1,polygon
NVCR,1,1,both
NVCT,1,1,both
NVD,1,1,both
NVDA,1,1,both
NVDD,1,1,both
NVDG,1,0,orats
NVDL,1,1,both
NVDQ,1,1,both
NVDS,1,1,both
NVDU,1,1,both
NVDW,1,0,orats
NVDX,1,1,both
NVDY,1,1,both
NVE,1,0,orats
NVEC,0,1,polygon
NVEE,1,1,both
NVEI,1,1,both
NVFY,1,1,both
NVG,0,1,polygon
NVGN,1,0,orats
NVGS,1,1,both
NVIR,0,1,polygon
NVIV,1,1,both
NVL,1,0,orats
NVLN,1,0,orats
NVLS,1,0,orats
NVMI,1,1,both
NVNI,0,1,polygon
NVNIW,0,1,polygon
NVNO,1,1,both
NVO,1,1,both
NVOH,1,0,orats
NVOS,0,1,polygon
NVOX,1,0,orats
NVQ,1,1,both
NVR,0,1,polygon
NVRI,1,1,both
NVRO,1,1,both
NVS,1,1,both
NVSPY,1,0,orats
NVST,1,1,both
NVT,1,1,both
NVTA,1,1,both
NVTL,1,0,orats
NVTR,1,0,orats
NVTS,1,1,both
NVTX,1,0,orats
NVUS,1,0,orats
NVVE,1,1,both
NVVEW,0,1,polygon
NVW,1,0,orats
NVX,1,1,both
NVYY,1,0,orats
NWA,1,0,orats
NWBI,1,1,both
NWBO,1,0,orats
NWE,1,1,both
NWFL,0,1,polygon
NWG,1,1,both
NWGL,0,1,polygon
NWL,1,1,both
NWLG,0,1,polygon
NWLI,0,1,polygon
NWMX,1,0,orats
NWN,1,1,both
NWPX,1,1,both
NWRE,1,0,orats
NWS,1,1,both
NWSA,1,1,both
NWSB,1,0,orats
NWTN,0,1,polygon
NWTNW,0,1,polygon
NWY,1,0,orats
NX,1,1,both
NXC,0,1,polygon
NXDR,1,0,orats
NXDT,1,1,both
NXDTpA,0,1,polygon
NXE,1,1,both
NXG,1,1,both
NXGL,0,1,polygon
NXGLW,0,1,polygon
NXGN,1,0,orats
NXJ,0,1,polygon
NXL,1,1,both
NXN,0,1,polygon
NXP,0,1,polygon
NXPI,1,1,both
NXPL,0,1,polygon
NXPLW,0,1,polygon
NXRT,1,1,both
NXST,1,1,both
NXT,1,1,both
NXTC,1,1,both
NXTD,1,0,orats
NXTE,1,1,both
NXTG,1,1,both
NXTM,1,0,orats
NXTP,0,1,polygon
NXTQ,1,0,orats
NXU,0,1,polygon
NXY,1,0,orats
NY,1,0,orats
NYAX,0,1,polygon
NYB,1,0,orats
NYC,1,1,both
NYCB,1,1,both
NYCBpA,0,1,polygon
NYCBpU,0,1,polygon
NYF,1,1,both
NYLD,1,0,orats
NYLD_A,1,0,orats
NYMT,1,1,both
NYMTL,0,1,polygon
NYMTM,0,1,polygon
NYMTN,0,1,polygon
NYMTZ,0,1,polygon
NYMX,1,0,orats
NYNY,1,0,orats
NYRT,1,0,orats
NYT,1,1,both
NYX,1,0,orats
NYXH,0,1,polygon
NZ,1,0,orats
NZAC,1,1,both
NZD,1,0,orats
NZF,0,1,polygon
NZRO,1,0,orats
NZT,1,0,orats
NZTCY,1,0,orats
NZUS,1,1,both
O,1,1,both
OA,1,0,orats
OABI,1,1,both
OABIW,0,1,polygon
OACP,1,1,both
OAEM,0,1,polygon
OAIA,0,1,polygon
OAIB,0,1,polygon
OAIM,0,1,polygon
